name,Population,Inset,Population (1977) (People)
Adrar,399714,C,137491
Ain Defla,766013,C,391437
Ain Temouchent,371239,C,219263
Alger,609499,C,1587888
Annaba,1119791,C,350032
Batna,270061,C,513500
Bechar,912577,C,126500
Bejaia,721356,C,511600
Biskra,1002937,C,329912
Blida,628475,C,500994
Bordj Bou Arreridj,695583,C,309303
Bouira,802083,C,374267
Boumerdes,1002088,C,439647
Chlef,938475,C,429807
Constantine,1092184,C,478339
Djelfa,228624,C,332535
El Bayadh,2988145,C,114794
El Oued,647548,C,259947
El Tarf,408414,C,193497
Ghardaia,363598,C,162486
Guelma,482430,C,276998
Illizi,52333,C,12078
Jijel,636948,C,342535
Khenchela,386683,C,189026
Laghouat,455602,C,148418
M'Sila,784073,C,407663
Mascara,819932,C,475847
Medea,766886,C,378655
Mila,737118,C,360918
Mostaganem,990591,C,416723
Naama,192891,C,82555
Oran,1454078,C,691660
Ouargla,558558,C,197332
Oum el Bouaghi,621612,C,305717
Relizane,726180,C,368512
Saida,330641,C,143786
Setif,1489979,C,686540
Sidi Bel Abbes,604744,C,321890
Skikda,898680,C,466932
Souk Ahras,438127,C,225669
Tamanghasset,176637,C,42096
Tebessa,648703,C,306814
Tiaret,846823,C,407330
Tindouf,49149,C,7417
Tipaza,591010,C,450598
Tissemsilt,294476,C,170269
Tizi Ouzou,1127607,C,701976
Tlemcen,949135,C,535807
