name,Population,GDP,Inset
Buenos Aires,15594428,292689868,C
Catamarca,367820,6150949,C
Chaco,1053466,9832643,C
Chubut,506668,17747854,C
Ciudad de Buenos Aires,2891082,154863803,C
Cordoba,3304825,69363739,C
Corrientes,993338,7968013,C
Entre Rios,1236300,20743409,C
Formosa,527895,3807057,C
Jujuy,672260,6484938,C
La Pampa,316940,6990262,C
La Rioja,331847,5590516,C
Mendoza,1741610,33431369,C
Misiones,1097829,9646826,C
Neuquen,550334,22564106,C
Rio Negro,633374,10264584,C
Salta,1215207,13438835,C
San Juan,680427,8262309,C
San Luis,431588,11780849,C
Santa Cruz,272524,11663738,C
Santa Fe,3200736,81588690,C
Santiago del Estero,896461,8387859,C
Tierra del Fuego,126190,7049276,C
Tucuman,1448200,13856199,C
