NAME_1,Population,Population (2006) (People),Inset
Al Butnan,164510,157747,C
Al Jabal al Akhdar,209978,206180,C
Al Jabal al Gharbi,307616,302705,C
Al Jifarah,443768,451175,C
Al Jufrah,42711,52092,C
Al Kufrah,35315,48328,C
Al Marj,190001,184531,C
Al Marqab,448260,427886,C
Al Wahat,165184,179155,C
An Nuqat al Khams,292440,287359,C
Az Zawiyah,300894,290637,C
Benghazi,562067,674951,C
Darnah,164440,162857,C
Ghat,23929,23199,C
Misratah,502613,543129,C
Murzuq,81791,78772,C
Nalut,97333,93896,C
Sabha,116016,133206,C
Surt,117473,141495,C
Tripoli,940653,1063571,C
Wadi al Hayat,73872,76258,C
Wadi ash Shati',82505,78563,C
