name,Population,GDP,Inset
Cherkasy,1186848,3796508950,C
Chernihiv,986199,2906305620,C
Chernivtsi,899755,1598747380,C
Crimea,1911818,5408006480,C
Dnipropetrovsk,3164030,17967997100,C
Donetsk,4120098,20737208250,C
Ivano-Frankivsk,1365366,3920488980,C
Kharkiv,2649501,9984338890,C
Kherson,1023856,2350520510,C
Khmelnytskyi,1250797,3185958910,C
Kiev,1781891,8459178090,C
Kiev City,2965013,33476429550,C
Kirovohrad,928242,2678260080,C
Lviv,2506733,7524045660,C
Luhansk,2130788,7136076810,C
Mykolayiv,1115657,3546363150,C
Odessa,2373758,7861742490,C
Poltava,1381365,6870509400,C
Rivne,1151266,2646566850,C
Sevastopol,443212,1201064130,C
Sumy,1063015,3027614190,C
Ternopil,1035881,2180518510,C
Transcarpathia,1252693,2599087720,C
Vinnytsya,1539308,4010104320,C
Volyn,1030157,2429207150,C
Zaporizhzhya,1679889,6657764040,C
Zhytomyr,1203652,3017414070,C
