NAME_1,Population (1990) (People),Population,Inset
Adams,13603,19983,C
Asotin,17605,22582,C
Benton,112560,204390,C
Chelan,52250,77200,C
Clallam,56210,77331,C
Clark,238053,488241,C
Columbia,4024,3985,C
Cowlitz,82119,110593,C
Douglas,26205,43429,C
Ferry,6295,7627,C
Franklin,37473,95222,C
Garfield,2248,2225,C
Grant,54798,97733,C
Grays Harbor,64175,75061,C
Island,60195,85141,C
Jefferson,20406,32221,C
King,1507305,2252782,C
Kitsap,189731,271473,C
Kittitas,26725,47935,C
Klickitat,16616,22425,C
Lewis,59358,80707,C
Lincoln,8864,10939,C
Mason,38341,66768,C
Okanogan,33350,42243,C
Pacific,18882,22471,C
Pend Oreille,8915,13724,C
Pierce,586203,904980,C
San Juan,10035,17582,C
Skagit,79545,129205,C
Skamania,8289,12083,C
Snohomish,465628,822083,C
Spokane,361333,522798,C
Stevens,30948,45723,C
Thurston,161238,290536,C
Wahkiakum,3327,4488,C
Walla Walla,48439,60760,C
Whatcom,127780,229247,C
Whitman,38775,50104,C
Yakima,188823,250873,C
